,contextWindow,solutionWindow,trainMSE,testMSE
2425,250.0,260.0,0.0003535176351586763,0.00035584990381925966
2426,250.0,270.0,0.00035149949506700585,0.00037083351044210096
2427,250.0,280.0,0.0003523047633287632,0.0003629795908127623
2428,250.0,290.0,0.00035438486781694056,0.00034534955439237625
2429,250.0,300.0,0.00035430183774891154,0.00034098430904703857
2430,250.0,310.0,0.00035213749376270854,0.00036050618833042484
2431,250.0,320.0,0.0003524439991828726,0.00035772817252008283
2432,250.0,330.0,0.0003532851031378298,0.0003492577416937419
2433,250.0,340.0,0.0003520872700885164,0.0003559508985051983
2434,250.0,350.0,0.000350120712473555,0.00037064891633170936
2435,250.0,360.0,0.00035261993804136033,0.0003457391480297894
2436,250.0,370.0,0.00035187057284477157,0.0003523110049578093
2437,250.0,380.0,0.0003508019317596328,0.00035681063912327334
2438,250.0,390.0,0.00035086772617755785,0.0003593313762076924
2439,250.0,400.0,0.00035073065347068034,0.00035488507303481397
2440,250.0,410.0,0.0003522826986584316,0.0003436330821334672
2441,250.0,420.0,0.00035073113214487324,0.00035722537923755095
2442,250.0,430.0,0.00035102237363928893,0.0003467174503532064
2443,250.0,440.0,0.0003510699041966926,0.00034225111520806353
2444,250.0,450.0,0.00035020385603034356,0.00035265481235478635
2445,250.0,460.0,0.0003494599283529445,0.0003548117379394552
2446,250.0,470.0,0.00034900624355979653,0.0003566859309182872
2447,250.0,480.0,0.0003485248009341949,0.00036087816716286035
2448,250.0,490.0,0.00034857956006813045,0.0003588961422116506
2449,250.0,500.0,0.00034984548052941465,0.0003434520774585337
2450,250.0,510.0,0.0003486588929517753,0.0003550563030642135
2451,250.0,520.0,0.0003502088287475187,0.0003399670141105719
2452,250.0,530.0,0.000349289353154753,0.00034494548476703065
2453,250.0,540.0,0.0003503418251860302,0.0003374910678757136
2454,250.0,550.0,0.00034697426317223146,0.000364925581806514
2455,250.0,560.0,0.0003489462225246596,0.0003479647645932097
2456,250.0,570.0,0.00034694971079383643,0.00036333192224205794
2457,250.0,580.0,0.00034933541108064656,0.00034178362162103174
2458,250.0,590.0,0.00034757199649782455,0.0003555217075883439
2459,250.0,600.0,0.00034798210319546887,0.00035226123212046427
2460,250.0,610.0,0.00034850916909419193,0.00034565828691358695
2461,250.0,620.0,0.0003477960462082499,0.0003533471613055102
2462,250.0,630.0,0.0003476146702730974,0.0003531871560910458
2463,250.0,640.0,0.0003476816503296171,0.0003545229484336127
2464,250.0,650.0,0.00034900493361205706,0.00033586594170654133
2465,250.0,660.0,0.00034773723574618774,0.00034599214939928476
2466,250.0,670.0,0.0003473527276119351,0.0003495455067116353
2467,250.0,680.0,0.0003469416920796003,0.0003507218333403784
2468,250.0,690.0,0.00034713425224286996,0.000348071757967551
2469,250.0,700.0,0.00034833230484161503,0.00033409694665059
2470,250.0,710.0,0.0003464632705460514,0.00034926190718390397
2471,250.0,720.0,0.0003469347262690646,0.00034224708382706807
2472,250.0,730.0,0.00034574735136308845,0.000350841485244909
2473,250.0,740.0,0.00034613447473283524,0.00034595836897021397
2474,250.0,750.0,0.0003462688760986204,0.0003417175655895314
2475,250.0,760.0,0.0003446413883823371,0.0003539077719875893
2476,250.0,770.0,0.00034530590150547836,0.0003472292675013766
2477,250.0,780.0,0.00034409029298120984,0.0003547929832875051
2478,250.0,790.0,0.0003445117542271529,0.00034788314716363897
2479,250.0,800.0,0.0003442615920664164,0.0003476031630210333
2480,250.0,810.0,0.00034382631462628145,0.00034607100094444704
2481,250.0,820.0,0.0003439971964525335,0.000340275662428902
2482,250.0,830.0,0.00034258667379551914,0.0003475411969516647
2483,250.0,840.0,0.00034250366360292383,0.0003425409508880954
2484,250.0,850.0,0.00034250948217828527,0.0003387448925229645
2485,250.0,860.0,0.0003422569184168443,0.00033716878438685283
2486,250.0,870.0,0.0003395815457061505,0.00035134362888055023
2487,250.0,880.0,0.00034074908350035507,0.00033270600611102916
2488,250.0,890.0,0.00033892969191098344,0.00034343517951127857
